agency,year,documents_withdrawn,documents_all,withdrawal_rate
ACUS,2017,0,1,0.0
ACUS,2021,0,1,0.0
ARTS,2017,0,4,0.0
ARTS,2021,0,2,0.0
ATBCB,2017,0,1,0.0
CFPB,2017,0,1,0.0
CFPB,2021,0,3,0.0
CFTC,2017,0,6,0.0
CFTC,2021,0,6,0.0
CIGIE,2021,0,1,0.0
CORP/CNCS,2017,0,2,0.0
CORP/CNCS,2021,0,1,0.0
CPPBSD,2017,0,2,0.0
CPPBSD,2021,0,2,0.0
CPSC,2017,0,6,0.0
CPSC,2021,0,3,0.0
CRC,2017,0,8,0.0
CRC,2021,0,18,0.0
CSOSA,2017,0,1,0.0
DHS,2017,0,34,0.0
DHS,2021,0,28,0.0
DHS; DOJ,2021,0,1,0.0
DHS; HUD; USAID; DOD; DOE; VA; DOT; NASA; NSF; DOL; USDA; EPA; SSA; DOC; HHS; ED,2017,0,1,0.0
DOC,2017,2,113,0.018
DOC,2021,0,124,0.0
DOD,2017,0,26,0.0
DOD,2021,0,14,0.0
DOE,2017,1,118,0.008
DOE,2021,0,66,0.0
DOI,2017,5,41,0.122
DOI,2021,4,36,0.111
DOI; DOC,2017,0,1,0.0
DOJ,2017,0,47,0.0
DOJ,2021,0,36,0.0
DOL,2017,0,23,0.0
DOL,2021,0,13,0.0
DOS,2017,0,16,0.0
DOS,2021,0,25,0.0
DOT,2017,16,65,0.246
DOT,2021,1,69,0.014
DRBC,2017,0,2,0.0
DRBC,2021,0,1,0.0
EAC,2017,0,1,0.0
EAC,2021,0,2,0.0
ED,2017,0,12,0.0
ED,2021,1,19,0.053
ED; DOL,2017,0,1,0.0
EEOC,2017,0,2,0.0
EEOC,2021,0,3,0.0
EOP,2017,0,38,0.0
EOP,2021,0,56,0.0
EPA,2017,2,37,0.054
EPA,2021,0,27,0.0
FASAB,2017,0,1,0.0
FCA,2017,0,4,0.0
FCA,2021,0,1,0.0
FCC,2017,0,14,0.0
FCC,2021,0,11,0.0
FCSIC,2017,0,2,0.0
FCSIC,2021,0,1,0.0
FDIC,2017,0,4,0.0
FDIC,2021,0,7,0.0
FEC,2017,0,8,0.0
FEC,2021,0,5,0.0
FFIEC,2017,0,1,0.0
FHFA,2017,0,1,0.0
FHFA,2021,0,2,0.0
FMC,2017,0,3,0.0
FMC,2021,0,2,0.0
FRS,2017,0,15,0.0
FRS,2021,0,8,0.0
FRTIB,2017,0,1,0.0
FRTIB,2021,0,1,0.0
FTC,2017,0,8,0.0
FTC,2021,0,4,0.0
GAO,2017,0,1,0.0
GSA,2017,0,2,0.0
GSA; NASA; DOD,2017,0,2,0.0
GSA; NASA; DOD,2021,0,4,0.0
HHS,2017,7,151,0.046
HHS,2021,7,122,0.057
HUD,2017,1,26,0.038
HUD,2021,0,11,0.0
ITC,2017,0,20,0.0
ITC,2021,0,29,0.0
LOC,2017,0,8,0.0
LOC,2021,0,2,0.0
LSC,2017,0,3,0.0
LSC,2021,0,2,0.0
MSHFRC,2017,0,2,0.0
MSPB,2021,0,1,0.0
NARA,2017,0,5,0.0
NARA,2021,0,1,0.0
NASA,2017,0,3,0.0
NASA,2021,0,2,0.0
NCUA,2017,0,4,0.0
NCUA,2021,0,1,0.0
NEIGHBOR,2017,0,2,0.0
NEIGHBOR,2021,0,1,0.0
NMB,2017,0,2,0.0
NRC,2017,0,38,0.0
NRC,2021,0,20,0.0
NSF,2017,0,8,0.0
NSF,2021,0,7,0.0
NTIA; DOC,2021,0,1,0.0
NTSB,2017,0,1,0.0
NTSB,2021,0,1,0.0
OGE,2017,0,2,0.0
OGE,2021,0,1,0.0
OMB,2017,0,2,0.0
OMB,2021,0,5,0.0
OMB; OPM,2017,0,1,0.0
OPM,2017,1,7,0.143
OPM,2021,0,7,0.0
PBGC,2017,0,3,0.0
PBGC,2021,0,1,0.0
PC,2017,0,1,0.0
PRC,2017,0,4,0.0
PRC,2021,0,1,0.0
PT,2017,0,1,0.0
RRB,2017,0,2,0.0
RRB,2021,0,2,0.0
SBA,2017,0,6,0.0
SBA,2021,0,17,0.0
SEC,2017,0,75,0.0
SEC,2021,0,76,0.0
SRBC,2017,0,1,0.0
SSA,2017,0,2,0.0
SSA,2021,0,2,0.0
SSS,2017,0,2,0.0
STB,2017,0,8,0.0
STB,2021,0,4,0.0
TREAS,2017,1,51,0.02
TREAS,2021,0,41,0.0
TREAS; DHS,2017,0,2,0.0
TREAS; DHS,2021,0,1,0.0
TREAS; FDIC; FRS,2017,0,2,0.0
TREAS; HHS,2021,0,1,0.0
TREAS; USTR,2017,0,1,0.0
TVA,2017,0,2,0.0
UCR,2021,0,2,0.0
USADF,2017,0,1,0.0
USAGM,2021,0,1,0.0
USCC,2017,0,1,0.0
USDA,2017,6,58,0.103
USDA,2021,5,27,0.185
USIP,2017,0,1,0.0
USJC,2017,0,1,0.0
USJC,2021,0,6,0.0
USPS,2017,0,5,0.0
USPS,2021,0,3,0.0
USTR,2017,0,1,0.0
USTR,2021,0,4,0.0
Udall Foundation,2017,0,1,0.0
VA,2017,0,25,0.0
VA,2021,0,20,0.0
