year,date,type,agencies_slug_uq,agencies_id_uq,agencies_acronym_uq,agency_names,agency_slugs,document_number,title,editorial_note,filing_type,json_url,indicator
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01009,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Interstate Movement of Fruit from Hawaii",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01009,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01010,"Environmental Assessments; Availability, etc.: Field Testing Vaccine for Use Against Infectious Bursal Disease, Marek's Disease, and Newcastle Disease",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01010,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01014,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Importation of Fresh Apricots from Continental Spain",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01014,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01016,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Importation of Emerald Ash Borer Host Material from Canada",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01016,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01017,Biotechnology Regulatory Services BQMS Program; Updates,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01017,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01018,"Environmental Assessments; Availability, etc.: Finding of No Significant Impact for Biological Control Agent for Giant Reed",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01018,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01020,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Cooperative Agricultural Pest Survey",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01020,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01023,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Federally Recognized State Managed Phytosanitary Program",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01023,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01026,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Importation of Fresh Beans, Shelled or in Pods, from Jordan into the Continental United States",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01026,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01028,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Importation of Avocados from Continental Spain",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01028,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,2017-01077,"Determinations of Nonregulated Status: Scotts Co. and Monsanto Co., Creeping Bentgrass Genetically Engineered for Resistance to Glyphosate",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01077,0
2017,2017-01-17,Notice,agriculture-department,12,USDA,Rural Housing Service,rural-housing-service,2017-01078,Meetings: Section 538 Guaranteed Rural Rental Housing Program 2017 Industry Forums,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01078,0
2017,2017-01-17,Notice,commerce-department,54,DOC,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2017-00715,Fisheries of Exclusive Economic Zones Off Alaska: Groundfish of Gulf of Alaska; Central Gulf of Alaska Rockfish Program; Standard Prices and Fee Percentage,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00715,0
2017,2017-01-17,Notice,commerce-department,54,DOC,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2017-00845,Meetings: Coral Reef Conservation Program,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00845,0
2017,2017-01-17,Notice,commerce-department,54,DOC,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2017-00952,Applications: Marine Mammals; File No. 20294,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00952,0
2017,2017-01-17,Notice,commerce-department,54,DOC,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2017-00956,"Permits: Endangered Species; File Nos. 19641, 17861, 20314, 20340, 20347, 20351, 20528, 20548, and 20651",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00956,0
2017,2017-01-17,Notice,commerce-department,54,DOC,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2017-00959,"Meetings: Fisheries of Gulf of Mexico and South Atlantic; Southeast Data, Assessment, and Review; Pre-Workshop Webinar for Southeastern U. S. Black Grouper",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00959,0
2017,2017-01-17,Notice,commerce-department,54,DOC,Census Bureau,census-bureau,2017-01025,Requests for Nominations: 2020 Advisory Committee,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01025,0
2017,2017-01-17,Notice,commerce-department,54,DOC,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2017-01063,Fisheries of Exclusive Economic Zones off Alaska: Exempted Fishing Permit Applications,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01063,0
2017,2017-01-17,Notice,commerce-department,54,DOC,Economic Development Administration,economic-development-administration,2017-01067,Meetings: National Advisory Council on Innovation and Entrepreneurship,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01067,0
2017,2017-01-17,Notice,commerce-department,54,DOC,National Institute of Standards and Technology,national-institute-of-standards-and-technology,C1-2016-31835,Requests for Nominations: National Institute of Standards and Technology Federal Advisory Committees,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/C1-2016-31835,0
2017,2017-01-17,Notice,consumer-financial-protection-bureau,573,CFPB,Consumer Financial Protection Bureau,consumer-financial-protection-bureau,2017-01021,Compliance Bulletins: Detecting and Preventing Consumer Harm from Production Incentives,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01021,0
2017,2017-01-17,Notice,defense-department,103,DOD,Army Department,army-department,2017-00937,"Environmental Impact Statements; Availability, etc.: Dakota Access, LLC’s Request for Easement to Cross Lake Oahe, ND",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00937,0
2017,2017-01-17,Notice,defense-department,103,DOD,Defense Department,defense-department,2017-00981,Meetings: Defense Science Board,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00981,0
2017,2017-01-17,Notice,education-department,126,ED,Education Department,education-department,2017-00943,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Principal Follow-Up Survey to National Teacher and Principal Survey",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00943,0
2017,2017-01-17,Notice,education-department,126,ED,Education Department,education-department,2017-00944,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Integrated Postsecondary Education Data System 2017-18 Through 2019-20",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00944,0
2017,2017-01-17,Notice,education-department,126,ED,Education Department,education-department,2017-00966,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: Evaluation of Comprehensive Technical Assistance Centers",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00966,0
2017,2017-01-17,Notice,education-department,126,ED,Education Department,education-department,2017-01029,"Agency Information Collection Activities; Proposals, Submissions, and Approvals: General Education Provisions Act Section 427 Guidance for All Grant Applications",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01029,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-01138,Meetings; Sunshine Act,,special,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-01138,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00924,Combined Filings,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00924,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00925,Combined Filings,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00925,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00926,Combined Filings,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00926,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00927,"Environmental Assessments; Availability, etc.: National Fuel Gas Supply Corp.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00927,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00928,"Complaints: Calpine Corp., Dynegy Inc.; Eastern Generation, LLC; Homer City Generation, LP; et al. v. PJM Interconnection, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00928,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00929,"Complaints: American Municipal Power, Inc.	 v. PJM Interconnection, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00929,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00930,"Revocations of Market-Based Rate Tariffs: Bargain Energy, LLC;  CES Placerita, Inc.;  DES Wholesale, LLC; et al.",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00930,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00931,"Initial Market-Based Rate Filings Including Requests for Blanket Section 204 Authorizations: Appleton Coated, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00931,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00932,"Declaratory Orders; Petitions: Stakeholder Midstream Crude Oil Pipeline, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00932,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00933,"Applications: Sabine River Authority of Texas; Sabine River Authority, State of Louisiana",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00933,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00934,Records Governing Off-the-Record Communications,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00934,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00935,"Filings: Wheatridge Wind Energy, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00935,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00936,Combined Filings,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00936,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00961,Combined Filings,,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00961,0
2017,2017-01-17,Notice,energy-department,136,DOE,Federal Energy Regulatory Commission,federal-energy-regulatory-commission,2017-00985,"Environmental Assessments; Availability, etc.: Columbia Gas Transmission, LLC",,regular,https://www.federalregister.gov/api/v1/public_inspection_documents/2017-00985,0
